,Store,Address,City,Province,PostalCode,Phone Number,lat,lng
0,681,#103 - 114 Sierra Springs Drive Se,Airdrie,AB,T4B3G6,403-945-9484,51.2693549,-114.0029072
1,605,#236-250 6Th Avenue Sw,Calgary,AB,T2P3H7,403-262-1650,51.047546,-114.0666498
2,606,"# 505, 1851 Sirocco Dr S.W.",Calgary,AB,T3H4R5,403-685-4447,51.0364729,-114.167857
3,612,#148A-6455 Macleod Tr. S,Calgary,AB,T2H0K9,403-253-0118,50.9983915,-114.0734825
4,617,"E10A,3625 Shaganappi Tr Nw",Calgary,AB,T3A0E2,403-286-4114,51.0845495,-114.1554
5,638,"# 202, 4600 - 130Th. Avenue S.E.",Calgary,AB,T2Z0C2,403-257-9475,50.9325525,-113.9697057
6,649,"#132, 4935 - 40Th Avenue Nw",Calgary,AB,T3A2N1,403-286-4142,51.0875888,-114.1579794
7,622,"1030, 6708 - 48 Avenue",Camrose,AB,T4V4S3,780-672-1325,53.0186539,-112.8577653
8,627,"# 304, 120 Fifth Avenue West",Cochrane,AB,T4C0A4,403-851-4747,51.189484,-114.4743584
9,630,3908 Gateway Blvd.,Edmonton,AB,T6J7A9,780-468-1547,53.4740372,-113.4929239
10,640,#41 - 301 Wye Road,Edmonton,AB,T8BOA4,780-449-1404,53.5113129,-113.3118172
11,628,"E07, 501 1St Avenue S.",Lethbridge,AB,T1J4L9,403-329-0550,49.6987565,-112.8386211
12,621,101 - 5004 - 18Th. Street,Lloydminster,AB,T9V1V4,780-872-5215,53.2538539,-110.0067851
13,629,"# 151, 31 Southridge Drive",Okotoks,AB,T1S2N3,403-938-4176,50.7142455,-113.9751495
14,619,104 - 4900 - Molly Banister Dr.,Red Deer,AB,T4R1N9,403-343-1600,52.2433592,-113.8102136
15,604,4934 50Th Ave. (P.O. Box 429),Vegreville,AB,T9C1R4,780-632-3474,53.5010976,-112.0683036
16,658,"# 200, 1215 Sumas Way",Abbotsford,BC,V2S8H2,604-859-9225,49.0245581,-122.2658908
17,641,7525 Market Crossing,Burnaby,BC,V5J0A3,604-433-8836,49.199466,-122.9823477
18,693,140-1416 Island Highway,Campbell River,BC,V9W8C9,250-287-9651,50.0353911,-125.2472508
19,659,#101 - 7592 Vedder Road,Chilliwack,BC,V2R5V9,604-858-3433,49.1384329,-121.9598213
